ParseDomain,,H,M,R,Country,OS,Archived
www.reb.gov.bd,,H,,R,United States,Linux,1
pbsb.ditpdpontren.kemenag.go.i...,,,,,Indonesia,Unknown,0
disnaker.bandung.go.id,,,,R,Indonesia,Unknown,1
disparkominfo.samarindakota.go...,,,M,,Indonesia,Linux,0
infopublik.samarindakota.go.id...,,,M,,Indonesia,Linux,0
www.coremu.uff.br,,,M,,Brazil,Linux,0
www.gepec.uff.br,,,,R,Brazil,Linux,0
www.dongnaiimm.gov.vn,,,M,,Viet Nam,Linux,1
www.xncdongnai.gov.vn,,,,,Viet Nam,Linux,1
www.serve.gov.tl,,H,M,,United States,Linux,1
gcbev.inpa.gov.br,,H,M,R,Brazil,Linux,1
bosque.inpa.gov.br,,H,M,,Brazil,Linux,1
www.tramitesparaguay.gov.py,,H,M,,Paraguay,Unknown,1
www.social.gov.tn,,H,M,R,Tunisia,Linux,1
kesbangpol.jambiprov.go.id,,,M,,Indonesia,Win 2003,1
www.wildlife.gov.my,,,,,Malaysia,Linux,1
www.ipssalocri.gov.it,,H,,,Italy,Linux,1
www.opec.pbn3.go.th,,,M,R,Thailand,Linux,1
www.nongmaisor.pbn3.go.th,,,M,,Thailand,Linux,0
www.nited.pbn3.go.th,,,M,R,Thailand,Linux,1
www.nernsomboon.pbn3.go.th,,,M,R,Thailand,Linux,0
www.nbt.pbn3.go.th,,,M,,Thailand,Linux,0
www.narideaw.pbn3.go.th,,,M,R,Thailand,Linux,0
www.nachaleang.pbn3.go.th,,,M,R,Thailand,Linux,0
www.kongphet.pbn3.go.th,,,M,,Thailand,Linux,0
www.koksamran.pbn3.go.th,,,M,,Thailand,Linux,0
www.hr.pbn3.go.th,,,M,R,Thailand,Linux,0
www.gis.pbn3.go.th,,,M,,Thailand,Linux,0
www.genad.pbn3.go.th,,,M,R,Thailand,Linux,0
www.financial.pbn3.go.th,,,M,R,Thailand,Linux,1
www.dansaisamakkee.pbn3.go.th,,,M,R,Thailand,Linux,0
www.bungnajan.pbn3.go.th,,,M,,Thailand,Linux,0
www.banpong.pbn3.go.th,,,M,R,Thailand,Linux,0
www.bankokcharern.pbn3.go.th,,,M,,Thailand,Linux,0
baanbumagrood.pbn3.go.th,,,M,R,Thailand,Linux,0
www.klongdoo.pbn3.go.th,,,M,,Thailand,Linux,0
www.rahul.pbn3.go.th,,,,,Thailand,Linux,0
ome.rid.go.th,,,M,,Thailand,Linux,1
msc6.rid.go.th,,,M,,Thailand,Linux,0
moc3.rid.go.th,,,M,,Thailand,Linux,0
mproject.rid.go.th,,,M,,Thailand,Linux,0
ict.rid.go.th,,,M,,Thailand,Linux,1
rakerda.pta-jambi.go.id,,,,R,United States,Linux,1
controle.cmvalente.ba.gov.br,,,,,United States,Linux,0
www.aclandgabtalibogra.gov.bd,,,,R,United States,Linux,0
www.fundosocial.sp.gov.br,,,,R,Brazil,Win 2003,1
www.cidadao.sp.gov.br,,,M,R,Brazil,Win 2003,1
www.empresa.sp.gov.br,,,,,Brazil,Win 2003,1
jsm.aim.gov.my,,H,M,,Malaysia,Linux,1
classifieds.aim.gov.my,,H,M,,Malaysia,Linux,0
bpk-manado.litbang.dephut.go.i...,,,,R,Indonesia,Linux,0
scstsenvis.nic.in,,,M,,India,Win 2012,1
ismenvis.nic.in,,,M,,India,Win 2012,1
iomenvis.nic.in,,,M,,India,Win 2012,1
iitmenvis.nic.in,,,M,,India,Win 2012,1
iiscenvis.nic.in,,,M,,India,Win 2012,1
iipsenvis.nic.in,,,M,,India,Win 2012,1
iiftenvis.nic.in,,,M,,India,Win 2012,1
iictenvis.nic.in,,,M,,India,Win 2012,1
ifs.nic.in,,,M,,India,Win 2012,1
iesenvis.nic.in,,,M,,India,Win 2012,1
icpeenvis.nic.in,,,M,,India,Win 2012,1
hpenvis.nic.in,,,M,,India,Win 2012,1
goaenvis.nic.in,,,M,,India,Win 2012,1
gcpcenvis.nic.in,,,M,,India,Win 2012,1
frlhtenvis.nic.in,,,M,,India,Win 2012,1
fcpms.nic.in,,,M,,India,Win 2012,1
envisecotourism.nic.in,,,M,,India,Win 2012,1
emprienvis.nic.in,,,M,,India,Win 2012,1
cpreecenvis.nic.in,,,M,,India,Win 2012,1
chenvis.nic.in,,,M,,India,Win 2012,1
casmbenvis.nic.in,,,M,,India,Win 2012,1
bsienvis.nic.in,,,M,,India,Win 2012,1
bnhsenvis.nic.in,,,M,,India,Win 2012,1
asmenvis.nic.in,,,M,,India,Win 2012,1
www.wolow.sr.gov.pl,,,M,R,Poland,Linux,1
mujeres.agn.gob.ve,,H,M,,Venezuela,Linux,1
tierrafirme.cnh.gob.ve,,H,M,,Venezuela,Linux,0
soporte.cnh.gob.ve,,H,M,,Venezuela,Linux,0
rsocial.cnh.gob.ve,,H,M,,Venezuela,Linux,0
nuestrosur.cnh.gob.ve,,H,M,,Venezuela,Linux,0
enciclopedia.cnh.gob.ve,,H,M,,Venezuela,Linux,0
congreso.cnh.gob.ve,,,M,R,Venezuela,Linux,0
chat.cnh.gob.ve,,H,M,,Venezuela,Linux,0
alimentacion.cnh.gob.ve,,H,M,,Venezuela,Linux,0
actualizacion.cnh.gob.ve,,H,M,,Venezuela,Linux,0
edu.se.df.gov.br,,H,,,Brazil,Linux,0
www.urbanprices.gov.in,,,,,India,Win 2012,0
www.zsienvis.nic.in,,,M,,India,Win 2012,1
wwfenvis.nic.in,,,M,,India,Win 2012,1
wiienvis.nic.in,,,M,,India,Win 2012,1
upenvis.nic.in,,,M,,India,Win 2012,1
tnenvis.nic.in,,,M,,India,Win 2012,1
tigernet.nic.in,,,M,,India,Win 2012,1
terienvis.nic.in,,,M,,India,Win 2012,1
sulabhenvis.nic.in,,,M,,India,Win 2012,1
spaenvis.nic.in,,,M,,India,Win 2012,1
sikenvis.nic.in,,,M,,India,Win 2012,1
punenvis.nic.in,,,M,,India,Win 2012,1
projecttiger.nic.in,,,M,,India,Win 2012,1
nhwis.nic.in,,,M,,India,Win 2012,1
nagenvis.nic.in,,,M,,India,Win 2012,1
mpenvis.nic.in,,,M,,India,Win 2012,1
kerenvis.nic.in,,,M,,India,Win 2012,1
jkspcb.nic.in,,,M,,India,Win 2012,1
jharenvis.nic.in,,,M,,India,Win 2012,1
itrcenvis.nic.in,,,,,India,Win 2012,1
tourismpmis.nic.in,,,M,,India,Win 2012,0
tourismfinacct.nic.in,,,M,,India,Win 2012,1
nationalarchives.nic.in,,,M,,India,Win 2012,1
planeacion.risaralda.gov.co,,,M,R,Colombia,Linux,1
husj.risaralda.gov.co,,,M,R,Colombia,Linux,0
www.pvr.gov.co,,,M,R,Colombia,Linux,0
www.asamblearisaralda.gov.co,,,M,R,Colombia,Linux,1
smk.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
monev.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
kelasdigital.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
pmp.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
kur2013.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
perpustakaan.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
supervisi.lpmpjateng.go.id,,,M,,Indonesia,Linux,0
www.arcacapitanata.gov.it,,H,,,Italy,Linux,1
www.irsofficersonline.gov.in,,,,,India,Win 2008,1
www.maeyom.go.th,,H,M,R,Thailand,Linux,1
www.nakhonchaisi-sao.go.th,,H,M,R,Thailand,Linux,1
