Time,Notifier,H,M,R,Country,OS,ParseDomain
11/14/16,0x1999,H,,R,United States,Linux,www.reb.gov.bd
11/14/16,Rembang Security Tester,,,,Indonesia,Unknown,pbsb.ditpdpontren.kemenag.go.i...
11/14/16,Rembang Security Tester,,,R,Indonesia,Unknown,disnaker.bandung.go.id
11/14/16,M2404,,M,,Indonesia,Linux,disparkominfo.samarindakota.go...
11/14/16,M2404,,M,,Indonesia,Linux,infopublik.samarindakota.go.id...
11/14/16,KuzoTR,,M,,Brazil,Linux,www.coremu.uff.br
11/14/16,KuzoTR,,,R,Brazil,Linux,www.gepec.uff.br
11/14/16,aDriv4,,M,,Viet Nam,Linux,www.dongnaiimm.gov.vn
11/14/16,aDriv4,,,,Viet Nam,Linux,www.xncdongnai.gov.vn
11/14/16,zombieleet,H,M,,United States,Linux,www.serve.gov.tl
11/14/16,ProtoWave Reloaded,H,M,R,Brazil,Linux,gcbev.inpa.gov.br
11/14/16,ProtoWave Reloaded,H,M,,Brazil,Linux,bosque.inpa.gov.br
11/14/16,Jurm,H,M,,Paraguay,Unknown,www.tramitesparaguay.gov.py
11/14/16,riadsyrhack,H,M,R,Tunisia,Linux,www.social.gov.tn
11/14/16,VirusYasscomMoroccan,,M,,Indonesia,Win 2003,kesbangpol.jambiprov.go.id
11/14/16,Bi_rtei_ine Tim,,,,Malaysia,Linux,www.wildlife.gov.my
11/14/16,aDriv4,H,,,Italy,Linux,www.ipssalocri.gov.it
11/14/16,LogView7,,M,R,Thailand,Linux,www.opec.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.nongmaisor.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.nited.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.nernsomboon.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.nbt.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.narideaw.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.nachaleang.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.kongphet.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.koksamran.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.hr.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.gis.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.genad.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.financial.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.dansaisamakkee.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.bungnajan.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,www.banpong.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.bankokcharern.pbn3.go.th
11/14/16,LogView7,,M,R,Thailand,Linux,baanbumagrood.pbn3.go.th
11/14/16,LogView7,,M,,Thailand,Linux,www.klongdoo.pbn3.go.th
11/14/16,LogView7,,,,Thailand,Linux,www.rahul.pbn3.go.th
11/14/16,RxR,,M,,Thailand,Linux,ome.rid.go.th
11/14/16,RxR,,M,,Thailand,Linux,msc6.rid.go.th
11/14/16,RxR,,M,,Thailand,Linux,moc3.rid.go.th
11/14/16,RxR,,M,,Thailand,Linux,mproject.rid.go.th
11/14/16,RxR,,M,,Thailand,Linux,ict.rid.go.th
11/14/16,!~ Ar.H.Hacker ~!,,,R,United States,Linux,rakerda.pta-jambi.go.id
11/14/16,!~ Ar.H.Hacker ~!,,,,United States,Linux,controle.cmvalente.ba.gov.br
11/14/16,Mr Anonymous,,,R,United States,Linux,www.aclandgabtalibogra.gov.bd
11/13/16,FL4M3,,,R,Brazil,Win 2003,www.fundosocial.sp.gov.br
11/13/16,FL4M3,,M,R,Brazil,Win 2003,www.cidadao.sp.gov.br
11/13/16,FL4M3,,,,Brazil,Win 2003,www.empresa.sp.gov.br
11/13/16,AnoaGhost,H,M,,Malaysia,Linux,jsm.aim.gov.my
11/13/16,AnoaGhost,H,M,,Malaysia,Linux,classifieds.aim.gov.my
11/13/16,!~ Ar.H.Hacker ~!,,,R,Indonesia,Linux,bpk-manado.litbang.dephut.go.i...
11/13/16,Faisal 1337,,M,,India,Win 2012,scstsenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,ismenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iomenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iitmenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iiscenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iipsenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iiftenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iictenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,ifs.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,iesenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,icpeenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,hpenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,goaenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,gcpcenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,frlhtenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,fcpms.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,envisecotourism.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,emprienvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,cpreecenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,chenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,casmbenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,bsienvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,bnhsenvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,asmenvis.nic.in
11/13/16,aDriv4,,M,R,Poland,Linux,www.wolow.sr.gov.pl
11/13/16,aDriv4,H,M,,Venezuela,Linux,mujeres.agn.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,tierrafirme.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,soporte.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,rsocial.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,nuestrosur.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,enciclopedia.cnh.gob.ve
11/13/16,aDriv4,,M,R,Venezuela,Linux,congreso.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,chat.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,alimentacion.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,Linux,actualizacion.cnh.gob.ve
11/13/16,Shade,H,,,Brazil,Linux,edu.se.df.gov.br
11/13/16,Faisal 1337,,,,India,Win 2012,www.urbanprices.gov.in
11/13/16,Faisal 1337,,M,,India,Win 2012,www.zsienvis.nic.in
11/13/16,Faisal 1337,,M,,India,Win 2012,wwfenvis.nic.in
